athlete_id,games_year,events_entered,medal_count,any_gold,any_silver,any_bronze,any_medal,best_position,sports
101437,2026,1,0,False,False,False,False,,Alpine Skiing
109860,2022,1,0,False,False,False,False,4.0,Snowboarding
110429,2022,1,0,False,False,False,False,6.0,Skeleton
110950,2022,1,1,True,False,False,True,1.0,Snowboarding
118481,2022,1,0,False,False,False,False,12.0,Alpine Skiing
118644,2022,1,1,False,True,False,True,2.0,Bobsleigh
118644,2026,1,1,True,False,False,True,1.0,Bobsleigh
118672,2022,1,1,True,False,False,True,1.0,Bobsleigh
118672,2026,1,1,False,False,True,True,3.0,Bobsleigh
118948,2022,1,0,False,False,False,False,4.0,Freestyle Skiing
119429,2022,1,0,False,False,False,False,8.0,Luge
119483,2022,2,0,False,False,False,False,23.0,Nordic Combined
119570,2022,1,0,False,False,False,False,,Snowboarding
119570,2026,1,0,False,False,False,False,7.0,Snowboarding
119606,2022,1,0,False,False,False,False,,Snowboarding
119606,2026,1,0,False,False,False,False,7.0,Snowboarding
128669,2022,5,0,False,False,False,False,9.0,Alpine Skiing
128669,2026,2,1,True,False,False,True,1.0,Alpine Skiing
128670,2022,1,0,False,False,False,False,21.0,Alpine Skiing
128670,2026,2,0,False,False,False,False,13.0,Alpine Skiing
128672,2022,2,0,False,False,False,False,12.0,Alpine Skiing
128677,2022,3,0,False,False,False,False,27.0,Biathlon
128679,2022,3,0,False,False,False,False,42.0,Biathlon
128679,2026,2,0,False,False,False,False,65.0,Biathlon
128680,2022,2,0,False,False,False,False,83.0,Biathlon
128689,2022,4,2,False,True,True,True,2.0,Cross Country Skiing
128689,2026,4,1,False,False,True,True,3.0,Cross Country Skiing
128702,2022,1,0,False,False,False,False,13.0,Freestyle Skiing
128704,2022,1,0,False,False,False,False,10.0,Freestyle Skiing
128706,2022,1,0,False,False,False,False,7.0,Freestyle Skiing
128711,2022,2,1,False,True,False,True,2.0,Freestyle Skiing
128711,2026,1,0,False,False,False,False,4.0,Freestyle Skiing
128714,2022,1,0,False,False,False,False,25.0,Freestyle Skiing
128715,2022,1,1,False,True,False,True,2.0,Freestyle Skiing
128725,2022,1,0,False,False,False,False,6.0,Figure Skating
128750,2022,1,0,False,False,False,False,23.0,Luge
128750,2026,1,0,False,False,False,False,14.0,Luge
128755,2022,1,0,False,False,False,False,13.0,Luge
128763,2022,2,0,False,False,False,False,9.0,Snowboarding
128772,2022,1,0,False,False,False,False,5.0,Snowboarding
128778,2022,3,1,False,False,True,True,3.0,Speed Skating
128778,2026,2,0,False,False,False,False,4.0,Speed Skating
128783,2022,2,0,False,False,False,False,11.0,Speed Skating
128783,2026,1,0,False,False,False,False,25.0,Speed Skating
