id,games_year,name_from_roster,sport_from_roster
149062,2022,A. J. Hurt,Alpine Skiing
149183,2022,Alix Wilkinson,Alpine Skiing
138248,2022,Bryce Bennett,Alpine Skiing
149066,2022,Isabella Wright,Alpine Skiing
128670,2022,Jackie Wiles,Alpine Skiing
149061,2022,Katie Hensien,Alpine Skiing
2302012,2022,Keely Cashman,Alpine Skiing
149067,2022,Luke Winters,Alpine Skiing
128669,2022,Mikaela Shiffrin,Alpine Skiing
149065,2022,Nina O'Brien,Alpine Skiing
149064,2022,Paula Moltzan,Alpine Skiing
2302013,2022,River Radamus,Alpine Skiing
138251,2022,Ryan Cochran-Siegle,Alpine Skiing
118481,2022,Tommy Ford,Alpine Skiing
128672,2022,Travis Ganong,Alpine Skiing
138396,2022,Tricia Mangan,Alpine Skiing
138255,2022,Clare Egan,Biathlon
149076,2022,Deedra Irwin,Biathlon
149077,2022,Jake Brown,Biathlon
138257,2022,Joanne Reid,Biathlon
128680,2022,Leif Nordgren,Biathlon
149078,2022,Paul Schommer,Biathlon
128679,2022,Sean Doherty,Biathlon
128677,2022,Susan Dunklee,Biathlon
138264,2022,Carlo Valdes,Bobsleigh
149074,2022,Charlie Volker,Bobsleigh
118644,2022,Elana Meyers Taylor,Bobsleigh
149071,2022,Frankie Del Duca,Bobsleigh
138259,2022,Hakeem Abdul-Saboor,Bobsleigh
149070,2022,Hunter Church,Bobsleigh
149073,2022,James Reed,Bobsleigh
149075,2022,Josh Williamson,Bobsleigh
118672,2022,Kaillie Humphries,Bobsleigh
149069,2022,Kaysha Love,Bobsleigh
149072,2022,Kris Horn,Bobsleigh
149068,2022,Sylvia Hoffman,Bobsleigh
149085,2022,Ben Ogden,Cross Country Skiing
149087,2022,Gus Schumacher,Cross Country Skiing
149082,2022,Hailey Swirbul,Cross Country Skiing
2302019,2022,Hannah Halvorsen,Cross Country Skiing
149086,2022,J. C. Schoonmaker,Cross Country Skiing
128689,2022,Jessie Diggins,Cross Country Skiing
149079,2022,Julia Kern,Cross Country Skiing
149083,2022,Kevin Bolger,Cross Country Skiing
