sport,event,athlete_id,athlete,position,medal,is_team_entry
Alpine Skiing,"Downhill, Men",157252,Kyle Negomir,10,,no
Alpine Skiing,"Downhill, Men",138248,Bryce Bennett,13,,no
Alpine Skiing,"Downhill, Men",138251,Ryan Cochran-Siegle,18,,no
Alpine Skiing,"Downhill, Men",157251,Sam Morse,19,,no
Alpine Skiing,"Super G, Men",138251,Ryan Cochran-Siegle,2,Silver,no
Alpine Skiing,"Super G, Men",157251,Sam Morse,23,,no
Alpine Skiing,"Super G, Men",157252,Kyle Negomir,26,,no
Alpine Skiing,"Super G, Men",2302013,River Radamus,DNF,,no
Alpine Skiing,"Giant Slalom, Men",2302013,River Radamus,17,,no
Alpine Skiing,"Giant Slalom, Men",157253,Ryder Sarchett,25,,no
Alpine Skiing,"Giant Slalom, Men",157252,Kyle Negomir,DNF,,no
Alpine Skiing,"Slalom, Men",2302013,River Radamus,DNF,,no
Alpine Skiing,"Downhill, Women",138247,Breezy Johnson,1,Gold,no
Alpine Skiing,"Downhill, Women",128670,Jackie Wiles,=4,,no
Alpine Skiing,"Downhill, Women",149066,Isabella Wright,21,,no
Alpine Skiing,"Downhill, Women",101437,Lindsey Vonn,DNF,,no
Alpine Skiing,"Super G, Women",128670,Jackie Wiles,13,,no
Alpine Skiing,"Super G, Women",2302012,Keely Cashman,15,,no
Alpine Skiing,"Super G, Women",138247,Breezy Johnson,DNF,,no
Alpine Skiing,"Super G, Women",157204,Mary Bocock,DNF,,no
Alpine Skiing,"Giant Slalom, Women",128669,Mikaela Shiffrin,11,,no
Alpine Skiing,"Giant Slalom, Women",149064,Paula Moltzan,15,,no
Alpine Skiing,"Giant Slalom, Women",149065,Nina O'Brien,20,,no
Alpine Skiing,"Giant Slalom, Women",149062,A. J. Hurt,DNF,,no
Alpine Skiing,"Slalom, Women",128669,Mikaela Shiffrin,1,Gold,no
Alpine Skiing,"Slalom, Women",149064,Paula Moltzan,8,,no
Alpine Skiing,"Slalom, Women",149062,A. J. Hurt,19,,no
Alpine Skiing,"Slalom, Women",149065,Nina O'Brien,DNF,,no
Biathlon,"Sprint, Men",138808,Campbell Wright,12,,no
Biathlon,"Sprint, Men",149078,Paul Schommer,47,,no
Biathlon,"Sprint, Men",128679,Sean Doherty,65,,no
Biathlon,"Sprint, Men",157259,Maxime Germain,66,,no
Biathlon,"Pursuit, Men",138808,Campbell Wright,8,,no
Biathlon,"Pursuit, Men",149078,Paul Schommer,48,,no
Biathlon,"Mass Start, Men",138808,Campbell Wright,29,,no
Biathlon,"Individual, Men",138808,Campbell Wright,27,,no
Biathlon,"Individual, Men",149078,Paul Schommer,44,,no
Biathlon,"Individual, Men",157259,Maxime Germain,67,,no
Biathlon,"Individual, Men",128679,Sean Doherty,80,,no
Biathlon,"Sprint, Women",149076,Deedra Irwin,47,,no
Biathlon,"Sprint, Women",157211,Margie Freed,66,,no
Biathlon,"Sprint, Women",138257,Joanne Reid,72,,no
Biathlon,"Sprint, Women",157210,Luci Anderson,79,,no
Biathlon,"Pursuit, Women",149076,Deedra Irwin,35,,no
Biathlon,"Individual, Women",157211,Margie Freed,21,,no
Biathlon,"Individual, Women",149076,Deedra Irwin,34,,no
Biathlon,"Individual, Women",138257,Joanne Reid,68,,no
Biathlon,"Individual, Women",157210,Luci Anderson,84,,no
Bobsleigh,"Monobob, Women",118644,Elana Meyers Taylor,1,Gold,no
Bobsleigh,"Monobob, Women",118672,Kaillie Humphries,3,Bronze,no
Bobsleigh,"Monobob, Women",149069,Kaysha Love,7,,no
Cross Country Skiing,"Sprint, Men",149085,Ben Ogden,2,Silver,no
Cross Country Skiing,"Sprint, Men",149086,J. C. Schoonmaker,8,,no
Cross Country Skiing,"Sprint, Men",157261,Zak Ketterson,28,,no
Cross Country Skiing,"Sprint, Men",149087,Gus Schumacher,=31,,no
Cross Country Skiing,"10 kilometres, Men",157260,John Steel Hagenbuch,14,,no
Cross Country Skiing,"10 kilometres, Men",157262,Zanden McMullen,32,,no
Cross Country Skiing,"10 kilometres, Men",157261,Zak Ketterson,38,,no
Cross Country Skiing,"10 kilometres, Men",149087,Gus Schumacher,39,,no
Cross Country Skiing,"50 kilometres, Men",149087,Gus Schumacher,13,,no
Cross Country Skiing,"50 kilometres, Men",2302020,Hunter Wonders,35,,no
Cross Country Skiing,"50 kilometres, Men",149085,Ben Ogden,DNS,,no
Cross Country Skiing,"Skiathlon, Men",149087,Gus Schumacher,24,,no
Cross Country Skiing,"Skiathlon, Men",2302020,Hunter Wonders,31,,no
Cross Country Skiing,"Skiathlon, Men",157262,Zanden McMullen,36,,no
Cross Country Skiing,"Skiathlon, Men",157261,Zak Ketterson,43,,no
Cross Country Skiing,"Sprint, Women",149079,Julia Kern,6,,no
Cross Country Skiing,"Sprint, Women",128689,Jessie Diggins,17,,no
Cross Country Skiing,"Sprint, Women",157213,Sammy Smith,19,,no
Cross Country Skiing,"Sprint, Women",157212,Lauren Jortberg,30,,no
Cross Country Skiing,"10 kilometres, Women",128689,Jessie Diggins,3,Bronze,no
Cross Country Skiing,"10 kilometres, Women",149081,Novie McCabe,31,,no
Cross Country Skiing,"10 kilometres, Women",138909,Kendall Kramer,38,,no
Cross Country Skiing,"10 kilometres, Women",149082,Hailey Swirbul,39,,no
Cross Country Skiing,"50 kilometres, Women",128689,Jessie Diggins,5,,no
Cross Country Skiing,"50 kilometres, Women",138267,Rosie Brennan,15,,no
Cross Country Skiing,"50 kilometres, Women",149082,Hailey Swirbul,19,,no
Cross Country Skiing,"50 kilometres, Women",138909,Kendall Kramer,26,,no
Cross Country Skiing,"Skiathlon, Women",128689,Jessie Diggins,8,,no
Cross Country Skiing,"Skiathlon, Women",149079,Julia Kern,24,,no
Cross Country Skiing,"Skiathlon, Women",149081,Novie McCabe,26,,no
Cross Country Skiing,"Skiathlon, Women",138267,Rosie Brennan,37,,no
Figure Skating,"Singles, Men",157277,Ilia Malinin,8,,no
Figure Skating,"Singles, Men",157281,Andrew Torgashev,12,,no
Figure Skating,"Singles, Men",157278,Maxim Naumov,20,,no
Figure Skating,"Singles, Women",149110,Alysa Liu,1,Gold,no
Figure Skating,"Singles, Women",157223,Amber Glenn,5,,no
Figure Skating,"Singles, Women",157225,Isabeau Levito,12,,no
Freestyle Skiing,"Moguls, Men",149102,Nick Page,7,,no
Freestyle Skiing,"Moguls, Men",157271,Charlie Mickel,12,,no
Freestyle Skiing,"Moguls, Men",149105,Dylan Walczyk,13,,no
Freestyle Skiing,"Moguls, Men",157274,Landon Wendler,17,,no
Freestyle Skiing,"Aerials, Men",149100,Chris Lillis,8,,no
Freestyle Skiing,"Aerials, Men",157270,Derek Krueger,11,,no
Freestyle Skiing,"Aerials, Men",157267,Connor Curran,12,,no
Freestyle Skiing,"Aerials, Men",157268,Quinn Dehlinger,DNS,,no
Freestyle Skiing,"Halfpipe, Men",138294,Alex Ferreira,1,Gold,no
Freestyle Skiing,"Halfpipe, Men",128711,Nick Goepper,4,,no
Freestyle Skiing,"Halfpipe, Men",2302026,Birk Irving,5,,no
Freestyle Skiing,"Halfpipe, Men",157269,Hunter Hess,10,,no
Freestyle Skiing,"Slopestyle, Men",138295,Alex Hall,2,Silver,no
Freestyle Skiing,"Dual Moguls, Men",157271,Charlie Mickel,6,,no
Freestyle Skiing,"Dual Moguls, Men",149105,Dylan Walczyk,7,,no
Freestyle Skiing,"Slopestyle, Men",157273,Konnor Ralph,9,,no
Freestyle Skiing,"Slopestyle, Men",149099,Mac Forehand,11,,no
Freestyle Skiing,"Dual Moguls, Men",149102,Nick Page,15,,no
Freestyle Skiing,"Dual Moguls, Men",157274,Landon Wendler,26,,no
Freestyle Skiing,"Slopestyle, Men",157272,Troy Podmilsak,28,,no
Freestyle Skiing,"Big Air, Men",149099,Mac Forehand,2,Silver,no
Freestyle Skiing,"Big Air, Men",157272,Troy Podmilsak,4,,no
Freestyle Skiing,"Big Air, Men",157273,Konnor Ralph,5,,no
Freestyle Skiing,"Big Air, Men",138295,Alex Hall,26,,no
Freestyle Skiing,"Moguls, Women",1806313,Liz Lemley,1,Gold,no
Freestyle Skiing,"Moguls, Women",138286,Jaelin Kauf,2,Silver,no
Freestyle Skiing,"Moguls, Women",149091,Olivia Giaccio,9,,no
Freestyle Skiing,"Moguls, Women",138285,Tess Johnson,10,,no
Freestyle Skiing,"Aerials, Women",149093,Kaila Kuhn,5,,no
Freestyle Skiing,"Aerials, Women",149098,Winter Vinecki,6,,no
Freestyle Skiing,"Aerials, Women",157219,Tasia Tanner,11,,no
Freestyle Skiing,"Aerials, Women",157214,Kyra Dossa,14,,no
Freestyle Skiing,"Halfpipe, Women",1805937,Kate Gray,10,,no
Freestyle Skiing,"Halfpipe, Women",157217,Svea Irving,11,,no
Freestyle Skiing,"Halfpipe, Women",157220,Abby Winterberger,15,,no
Freestyle Skiing,"Halfpipe, Women",140320,Riley Jacobs,18,,no
Freestyle Skiing,"Slopestyle, Women",157218,Avery Krumme,11,,no
Freestyle Skiing,"Slopestyle, Women",157216,Grace Henderson,15,,no
Freestyle Skiing,"Slopestyle, Women",149092,Marin Hamill,16,,no
Freestyle Skiing,"Slopestyle, Women",157215,Rell Harwood,DNS,,no
Freestyle Skiing,"Big Air, Women",157216,Grace Henderson,14,,no
Freestyle Skiing,"Big Air, Women",157218,Avery Krumme,19,,no
Freestyle Skiing,"Big Air, Women",149092,Marin Hamill,22,,no
Freestyle Skiing,"Big Air, Women",157215,Rell Harwood,23,,no
Freestyle Skiing,"Dual Moguls, Women",138286,Jaelin Kauf,2,Silver,no
Freestyle Skiing,"Dual Moguls, Women",1806313,Liz Lemley,3,Bronze,no
Freestyle Skiing,"Dual Moguls, Women",138285,Tess Johnson,5,,no
Freestyle Skiing,"Dual Moguls, Women",149091,Olivia Giaccio,6,,no
Luge,"Singles, Men",149147,Jonathan Gustafson,11,,no
